Numero Processo;Tipo do processo;Assunto;Pasta;Entidade;Estado;Cidade;Data de instauracao;Fase atual;Data da fase atual;Investigados;Quantidade de sancoes que impedem contratacao;Outras;Multas
0072017;Investigação Preliminar;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;DF;BRASILIA;2017/07/11 00:00:00.000000000;Julgado;2017/11/08 00:00:00.000000000;1;;;
20160001;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SANTA RITA DE CASSIA;2017/07/07 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/25 00:00:00.000000000;1;;;
0082017;Investigação Preliminar;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;BA;SALVADOR;2017/07/11 00:00:00.000000000;Julgado;2018/02/09 00:00:00.000000000;1;;;
0082017;Investigação Preliminar;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;BA;SALVADOR;2017/07/11 00:00:00.000000000;Julgado;2018/02/09 00:00:00.000000000;1;;;
0082017;Investigação Preliminar;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;BA;SALVADOR;2017/07/11 00:00:00.000000000;Julgado;2018/02/09 00:00:00.000000000;1;;;
20160003;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;PB;GUARABIRA;2017/07/07 00:00:00.000000000;Instauração/Instrução;2017/07/07 00:00:00.000000000;1;;;
0006500016202017;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;BA;SAO FRANCISCO DO CONDE;2017/07/14 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/15 00:00:00.000000000;1;;;
0002522451622016;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RN;NATAL;2016/12/22 00:00:00.000000000;Julgado;2017/11/01 00:00:00.000000000;1;;1;1404315
20160013;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;SP;SAO PAULO;2017/07/07 00:00:00.000000000;Instauração/Instrução;2017/07/07 00:00:00.000000000;1;;;
0003522451622016;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RN;NATAL;2016/12/22 00:00:00.000000000;Julgado;2017/11/01 00:00:00.000000000;1;;1;2261113.05
20160002;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/07 00:00:00.000000000;Instauração/Instrução;2017/07/07 00:00:00.000000000;1;;;
01012017;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério do Planejamento, Desenvolvimento e Gestão;Banco Nacional de Desenvolvimento Econômico e Social;RJ;RIO DE JANEIRO;2017/04/06 00:00:00.000000000;Instauração/Instrução;2017/04/06 00:00:00.000000000;1;;;
20160005;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/25 00:00:00.000000000;1;;;
20160006;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160007;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160009;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160010;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160002;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/07 00:00:00.000000000;Instauração/Instrução;2017/07/07 00:00:00.000000000;1;;;
20160027;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160004;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Instauração/Instrução;2017/07/25 00:00:00.000000000;1;;;
20160026;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160011;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/09 00:00:00.000000000;1;;;
20160012;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160025;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Instauração/Instrução;2017/07/25 00:00:00.000000000;1;;;
20160014;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160005;Investigação Preliminar;Fraude em procedimento licitatório da administração pública nacional.;Ministério da Fazenda;Banco do Brasil S.A.;DF;BRASILIA;2016/09/29 00:00:00.000000000;Anulado por Decisão Administrativa;2017/04/19 00:00:00.000000000;2;;;
20160024;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160015;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160016;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/09 00:00:00.000000000;1;;;
20160023;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160022;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/09 00:00:00.000000000;1;;;
20160017;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/09 00:00:00.000000000;1;;;
20160018;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/10 00:00:00.000000000;1;;;
20160021;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Instauração/Instrução;2017/07/25 00:00:00.000000000;1;;;
20160007;Investigação Preliminar;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2016/12/27 00:00:00.000000000;Anulado por Decisão Administrativa;2017/05/05 00:00:00.000000000;2;;;
20160019;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/09 00:00:00.000000000;1;;;
00190004161201577;PAR - Administração Nacional;Comportamento inidôneo;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/03/11 00:00:00.000000000;Instauração/Instrução;2015/03/11 00:00:00.000000000;1;;;
00190004161201577;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/03/11 00:00:00.000000000;Instauração/Instrução;2015/03/11 00:00:00.000000000;1;;;
00190004161201577;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/03/11 00:00:00.000000000;Instauração/Instrução;2015/03/11 00:00:00.000000000;1;;;
00190004161201577;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/03/11 00:00:00.000000000;Instauração/Instrução;2015/03/11 00:00:00.000000000;1;;;
00190004161201577;PAR - Administração Nacional;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/03/11 00:00:00.000000000;Instauração/Instrução;2015/03/11 00:00:00.000000000;1;;;
20160020;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20160008;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério da Fazenda;Banco do Brasil S.A.;BA;SALVADOR;2017/07/25 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2018/01/08 00:00:00.000000000;1;;;
20170050;Investigação Preliminar;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;SP;SAO PAULO;2017/05/23 00:00:00.000000000;Anulado por Decisão Administrativa;2017/11/08 00:00:00.000000000;3;;;
20160006;Investigação Preliminar;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Banco do Brasil S.A.;MA;BARRA DO CORDA;2016/12/27 00:00:00.000000000;Instauração/Instrução;2016/12/27 00:00:00.000000000;2;;;
